id,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2
511.0,0,0.9427393012828168,0.05726068152198904,1.7195180659717207e-08
512.0,1,9.496331558815546e-18,0.9959676613552414,0.004032338644755002
513.0,1,7.631602685502758e-16,1.0,1.9333697378913036e-32
514.0,0,1.0,2.4499753649608905e-63,3.126087299604807e-58
515.0,0,1.0,2.8189691517370202e-18,2.1280139214422382e-91
516.0,2,4.6612245245829384e-29,2.4066847299406645e-12,0.9999999999976126
517.0,2,4.822393034639352e-38,1.8971350039655075e-14,0.9999999999999716
518.0,2,8.804058393712446e-18,2.370089222847201e-13,0.9999999999997726
519.0,2,2.340399960385284e-12,1.0600081829221992e-27,0.9999999999976694
520.0,1,4.674366982475019e-21,1.0,1.7798846952597708e-14
521.0,0,1.0,1.7741341365340192e-31,5.91570446820119e-72
522.0,2,1.1003347765023086e-14,3.083310974959e-06,0.9999969166890209
523.0,2,6.976831925877473e-20,3.1429667377683624e-06,0.9999968570332891
524.0,1,1.5950298561169478e-13,0.9999999999998295,1.5420388272747357e-30
525.0,1,6.864088087258199e-20,1.0,3.459353696353323e-52
526.0,1,5.472717024771924e-25,1.0,7.620044679197849e-38
527.0,1,3.1630046100014627e-19,0.9999999998213411,1.7867213416354272e-10
528.0,1,0.007244801367462864,0.9927551986325573,9.515515730218951e-44
529.0,1,1.108758488826297e-15,1.0,1.325882410622012e-24
530.0,2,8.585481785903888e-23,2.733829037740881e-19,1.0
531.0,0,1.0,7.943989404873202e-20,1.5835106466458535e-95
532.0,2,2.0400672722485717e-28,2.762346737210452e-16,1.0
533.0,2,1.0420892300730946e-19,1.8939267492848958e-15,1.0
534.0,2,4.786398139127845e-05,7.779201513377862e-10,0.9999521352406646
535.0,0,1.0,2.4318387174113676e-24,2.5880368817204992e-151
536.0,0,0.9990078770085709,2.3615321886996022e-20,0.0009921229914520747
537.0,0,1.0,7.453731525425514e-18,2.845104132468171e-34
538.0,1,1.2788094784137244e-09,0.9999999987211936,2.053212978630518e-55
539.0,0,1.0,8.097529567723136e-21,6.281256164496684e-72
540.0,1,9.599121545296054e-11,0.9999999999039915,8.898492945262808e-17
541.0,2,1.1010290736429554e-39,2.3337109437329588e-24,1.0
542.0,1,1.0038031744353275e-14,1.0,2.2177542685867292e-20
543.0,0,1.0,2.8142748590235737e-197,8.618049650138216e-207
544.0,1,1.71530528963643e-10,0.9999999998284466,9.070706428760888e-35
545.0,0,0.9943145039006352,0.005685496099355065,3.414537285492913e-28
546.0,1,0.0035641279053782423,0.9964358534668778,1.8627750498647237e-08
547.0,1,1.6835409518505596e-18,1.0,3.0115630562789624e-71
548.0,1,5.903573671481321e-05,0.9999409642632889,2.1552732051768346e-22
549.0,2,3.524498181109266e-10,1.1442800369398333e-32,0.9999999996475708
550.0,0,0.9999999714241885,2.8575795764216357e-08,6.366718287249743e-60
551.0,1,1.1190882499537623e-10,0.9999999998880753,7.718531606039401e-56
552.0,0,1.0,3.16731435320473e-35,1.394346695947472e-37
553.0,2,2.1975212109238176e-31,4.323990345458989e-27,1.0
554.0,2,3.85726104089963e-21,2.8916571377949797e-09,0.9999999971083184
555.0,0,0.9999999999891998,1.082138219070603e-11,4.0752379216640454e-35
556.0,0,1.0,1.1820355512932277e-47,5.5208533555368845e-114
557.0,1,0.0145400507878093,0.9854599492122028,5.210710530643296e-31
558.0,1,0.00039119707525306103,0.9996088029227854,1.947448146309459e-12
559.0,2,5.0160598967274725e-25,2.1022842481124785e-09,0.999999997897703
560.0,0,1.0,6.950349307015649e-51,2.827995134328136e-87
561.0,1,1.6383446440485998e-11,0.9999999999836291,1.1630704360896152e-38
562.0,0,1.0,5.617657615782294e-33,6.080517062123076e-62
